Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,That's What I Like (feat. Gucci Mane),60.0,0.854,0.564,1.0,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,234596.0,4,5
Boston,Hitch a Ride,54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733.0,4,10
The Raincoats,No Side to Fall In,35.0,0.434,0.614,6.0,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,6
Deno,Lingo (feat. J.I & Chunkz),66.0,0.853,0.597,10.0,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,173968.0,4,5
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,10
The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,6.0,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4,6
Solomon Burke,None Of Us Are Free,48.0,0.674,0.658,5.0,-9.647,0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,329387.0,4,2
Randy Travis,On the Other Hand,55.0,0.657,0.415,5.0,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333,4,4
Professional Murder Music,Slow,29.0,0.431,0.776,10.0,-5.403,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,237867.0,4,8
Dudu Aharon,"דודו, יאללה יאללה",14.0,0.716,0.885,1.0,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,164093.0,4,9
Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,3
Arctic Monkeys,The View From The Afternoon,59.0,0.387,0.922,9.0,-5.192,0,0.0674,0.00487,,0.187,0.417,146.478,222947.0,4,10
Eyal Golan,קרובה אליי,34.0,0.585,0.381,1.0,-7.622,0,0.0463,0.435,,0.126,0.322,143.876,206875.0,4,9
"Harald Lassen, Bram de Looze",How it feels pt. 2,34.0,0.462,0.374,11.0,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,4.44025,3,7
Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693.0,4,10
Elmore James,Madison Blues,37.0,0.431,0.852,2.0,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,146800.0,4,2
Dudu Aharon,לא יכול בלעדייך,14.0,0.713,0.939,5.0,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320.0,4,9
Velvet Two Stripes,Drinks,31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,10
Eden Ben Zaken,מנגינה,29.0,0.57,0.458,9.0,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4,9
DaBaby,Baby Sitter (feat. Offset),70.0,0.852,0.73,1.0,-5.803,1,0.0579,0.0219,,0.336,0.394,92.506,157693.0,4,5
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.347,0.411,6.0,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4,6
Clairmont The Second,intres-ting,44.0,0.796,0.441,7.0,-9.83,1,0.292,0.16,2.89e-05,0.118,0.371,158.105,137872.0,4,1
Krankhead,Cut Throat,29.0,0.805,0.448,7.0,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4,5
The Stone Roses,Driving South,44.0,0.472,0.947,9.0,-6.128,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,309867.0,4,10
R3HAB,Whiplash - Acoustic,44.0,0.556,0.188,8.0,-12.161,1,0.0316,0.494,,0.119,0.184,138.091,145217.0,4,9
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,,0.548,0.711,10.0,-8.44,1,0.107,0.542,9.59e-05,0.355,0.618,119.675,4.015633333,3,0
MC Hammer,U Can't Touch This,73.0,0.867,0.517,11.0,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,4,9
